Estado,Tienda,Stock
AGUASCALIENTES,Liverpool Ags. Altaria,3 piezas
AGUASCALIENTES,Liverpool Aguascalientes Villasunción,1 piezas
BAJA CALIFORNIA,Liverpool Mexicali,2 piezas
BAJA CALIFORNIA,Liverpool Tijuana,2 piezas
BAJA CALIFORNIA SUR,Liverpool La Paz,5 piezas
CAMPECHE,Liverpool Cd. del Carmen,3 piezas
COLIMA,Liverpool Colima,2 piezas
CDMX/ZONA METROPOLITANA,Liverpool Tezontle,15 piezas
DURANGO,Liverpool Durango,9 piezas
GUANAJUATO,Liverpool León Altacia,8 piezas
GUANAJUATO,Liverpool Guanajuato,2 piezas
GUANAJUATO,Liverpool Galerías Celaya,1 piezas
GUERRERO,Liverpool Acapulco La Isla,4 piezas
GUERRERO,Liverpool Galerías Chilpancingo,2 piezas
MICHOACÁN,Liverpool Morelia Altozano,4 piezas
MICHOACÁN,Liverpool Zamora,2 piezas
MORELOS,Liverpool Cuautla,3 piezas
TABASCO,Liverpool Galerías Tabasco,20 piezas
TABASCO,Liverpool Altabrisa,4 piezas
TABASCO,Liverpool Villahermosa Crystal,1 piezas
TAMAULIPAS,Liverpool Ciudad Victoria,3 piezas
VERACRUZ,Liverpool Orizaba,5 piezas
VERACRUZ,Liverpool Veracruz El Dorado,3 piezas
VERACRUZ,Liverpool Córdoba Crystal,2 piezas
VERACRUZ,Liverpool Tuxpan,1 piezas
VERACRUZ,Liverpool Coatzacoalcos Crystal,1 piezas
